EVENT_LOG | OS-Level Chat Server | 2026-04-16 01:54:41
----------------------------------------------------------------
LINE  TIMESTAMP_MS   EVENT              TID    ROOM   SEM    MSGS   DETAIL
168        4595.461  SEM_BLOCK          tid=4   room=-  sem=50   msgs=0    about to wait
169        4595.462  SEM_WAIT           tid=4   room=-  sem=49   msgs=0    ADMITTED
170        4595.463  ACQUIRED_LOCK      tid=4   room=A  sem=-1   msgs=0    Hank
171        4595.464  RELEASED_LOCK      tid=4   room=A  sem=-1   msgs=0    Hank
172        4595.464  MSG_BROADCAST      tid=4   room=A  sem=49   msgs=4    Hank
173        4595.464  SEM_POST           tid=4   room=-  sem=50   msgs=4    Hank
174        4669.983  SEM_BLOCK          tid=6   room=-  sem=50   msgs=0    about to wait
175        4669.985  SEM_WAIT           tid=6   room=-  sem=49   msgs=0    ADMITTED
176        4669.985  ACQUIRED_LOCK      tid=6   room=B  sem=-1   msgs=0    Iris
177        4669.986  RELEASED_LOCK      tid=6   room=B  sem=-1   msgs=0    Iris
178        4669.986  MSG_BROADCAST      tid=6   room=B  sem=49   msgs=4    Iris
179        4669.987  SEM_POST           tid=6   room=-  sem=50   msgs=4    Iris
180        4746.889  SEM_BLOCK          tid=5   room=-  sem=50   msgs=0    about to wait
181        4746.890  SEM_WAIT           tid=5   room=-  sem=49   msgs=0    ADMITTED
182        4746.891  ACQUIRED_LOCK      tid=5   room=C  sem=-1   msgs=0    Jack
183        4746.892  RELEASED_LOCK      tid=5   room=C  sem=-1   msgs=0    Jack
184        4746.893  MSG_BROADCAST      tid=5   room=C  sem=49   msgs=4    Jack
185        4746.893  SEM_POST           tid=5   room=-  sem=50   msgs=4    Jack
186        4821.840  SEM_BLOCK          tid=0   room=-  sem=50   msgs=0    about to wait
187        4821.842  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
188        4821.843  ACQUIRED_LOCK      tid=0   room=A  sem=-1   msgs=0    Karen
189        4821.843  RELEASED_LOCK      tid=0   room=A  sem=-1   msgs=0    Karen
190        4821.844  MSG_BROADCAST      tid=0   room=A  sem=49   msgs=4    Karen
191        4821.844  SEM_POST           tid=0   room=-  sem=50   msgs=4    Karen
192        4903.208  SEM_BLOCK          tid=1   room=-  sem=50   msgs=0    about to wait
