EVENT_LOG | OS-Level Chat Server | 2026-04-24 02:38:11
----------------------------------------------------------------
LINE  TIMESTAMP_MS   EVENT              TID    ROOM   SEM    MSGS   DETAIL
169         674.446  SEM_WAIT           tid=4   room=-  sem=49   msgs=0    ADMITTED
170         674.448  ACQUIRED_LOCK      tid=4   room=A  sem=-1   msgs=0    Hank
171         674.449  RELEASED_LOCK      tid=4   room=A  sem=-1   msgs=0    Hank
172         674.449  MSG_BROADCAST      tid=4   room=A  sem=49   msgs=4    Hank
173         674.449  SEM_POST           tid=4   room=-  sem=50   msgs=4    Hank
174         696.421  SEM_BLOCK          tid=5   room=-  sem=50   msgs=0    about to wait
175         696.426  SEM_WAIT           tid=5   room=-  sem=49   msgs=0    ADMITTED
176         696.428  ACQUIRED_LOCK      tid=5   room=B  sem=-1   msgs=0    Iris
177         696.429  RELEASED_LOCK      tid=5   room=B  sem=-1   msgs=0    Iris
178         696.429  MSG_BROADCAST      tid=5   room=B  sem=49   msgs=4    Iris
179         696.429  SEM_POST           tid=5   room=-  sem=50   msgs=4    Iris
180         725.914  SEM_BLOCK          tid=0   room=-  sem=50   msgs=0    about to wait
181         725.922  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
182         725.924  ACQUIRED_LOCK      tid=0   room=C  sem=-1   msgs=0    Jack
183         725.924  RELEASED_LOCK      tid=0   room=C  sem=-1   msgs=0    Jack
184         725.925  MSG_BROADCAST      tid=0   room=C  sem=49   msgs=5    Jack
185         725.925  SEM_POST           tid=0   room=-  sem=50   msgs=5    Jack
186         737.810  SEM_BLOCK          tid=1   room=-  sem=50   msgs=0    about to wait
187         737.813  SEM_WAIT           tid=1   room=-  sem=49   msgs=0    ADMITTED
188         737.814  ACQUIRED_LOCK      tid=1   room=A  sem=-1   msgs=0    Karen
189         737.815  RELEASED_LOCK      tid=1   room=A  sem=-1   msgs=0    Karen
190         737.815  MSG_BROADCAST      tid=1   room=A  sem=49   msgs=4    Karen
191         737.815  SEM_POST           tid=1   room=-  sem=50   msgs=4    Karen
192         758.106  SEM_BLOCK          tid=6   room=-  sem=50   msgs=0    about to wait
193         758.110  SEM_WAIT           tid=6   room=-  sem=49   msgs=0    ADMITTED
194         758.112  ACQUIRED_LOCK      tid=6   room=B  sem=-1   msgs=0    Leo
195         758.113  RELEASED_LOCK      tid=6   room=B  sem=-1   msgs=0    Leo
196         758.113  MSG_BROADCAST      tid=6   room=B  sem=49   msgs=4    Leo
