EVENT_LOG | OS-Level Chat Server | 2026-04-22 22:11:32
----------------------------------------------------------------
LINE  TIMESTAMP_MS   EVENT              TID    ROOM   SEM    MSGS   DETAIL
197        6206.372  SEM_POST           tid=7   room=-  sem=50   msgs=4    Leo
198        6406.492  SEM_BLOCK          tid=0   room=-  sem=50   msgs=0    about to wait
199        6406.495  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
200        6406.498  PRIVATE_MSG        tid=5   room=-  sem=-1   msgs=0    T5->T6 Mia
201        6406.516  PRIVATE_MSG        tid=0   room=P  sem=49   msgs=5    Mia
202        6406.516  SEM_POST           tid=0   room=-  sem=50   msgs=5    Mia
203        6452.564  SEM_BLOCK          tid=1   room=-  sem=50   msgs=0    about to wait
204        6452.570  SEM_WAIT           tid=1   room=-  sem=49   msgs=0    ADMITTED
205        6452.571  ACQUIRED_LOCK      tid=1   room=A  sem=-1   msgs=0    Nick
206        6452.572  RELEASED_LOCK      tid=1   room=A  sem=-1   msgs=0    Nick
207        6452.572  MSG_BROADCAST      tid=1   room=A  sem=49   msgs=5    Nick
208        6452.573  SEM_POST           tid=1   room=-  sem=50   msgs=5    Nick
209        6498.736  SEM_BLOCK          tid=2   room=-  sem=50   msgs=0    about to wait
210        6498.739  SEM_WAIT           tid=2   room=-  sem=49   msgs=0    ADMITTED
211        6498.739  ACQUIRED_LOCK      tid=2   room=B  sem=-1   msgs=0    Olivia
212        6498.740  RELEASED_LOCK      tid=2   room=B  sem=-1   msgs=0    Olivia
213        6498.741  MSG_BROADCAST      tid=2   room=B  sem=49   msgs=5    Olivia
214        6498.741  SEM_POST           tid=2   room=-  sem=50   msgs=5    Olivia
215        6544.931  SEM_BLOCK          tid=3   room=-  sem=50   msgs=0    about to wait
216        6544.939  SEM_WAIT           tid=3   room=-  sem=49   msgs=0    ADMITTED
217        6544.944  ACQUIRED_LOCK      tid=3   room=C  sem=-1   msgs=0    Paul
218        6544.952  RELEASED_LOCK      tid=3   room=C  sem=-1   msgs=0    Paul
