EVENT_LOG | OS-Level Chat Server | 2026-04-15 21:08:52
----------------------------------------------------------------
LINE  TIMESTAMP_MS   EVENT              TID    ROOM   SEM    MSGS   DETAIL
153       10662.798  RELEASED_LOCK      tid=7   room=C  sem=-1   msgs=0    Jack
154       10662.799  MSG_BROADCAST      tid=7   room=C  sem=49   msgs=4    Jack
155       10662.799  SEM_POST           tid=7   room=-  sem=50   msgs=4    Jack
156       11663.819  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
157       11663.822  ACQUIRED_LOCK      tid=0   room=A  sem=-1   msgs=0    Karen
158       11663.823  RELEASED_LOCK      tid=0   room=A  sem=-1   msgs=0    Karen
159       11663.823  MSG_BROADCAST      tid=0   room=A  sem=49   msgs=5    Karen
160       11663.823  SEM_POST           tid=0   room=-  sem=50   msgs=5    Karen
161       12664.020  SEM_WAIT           tid=2   room=-  sem=49   msgs=0    ADMITTED
162       12664.021  ACQUIRED_LOCK      tid=2   room=B  sem=-1   msgs=0    Leo
163       12664.022  RELEASED_LOCK      tid=2   room=B  sem=-1   msgs=0    Leo
164       12664.022  MSG_BROADCAST      tid=2   room=B  sem=49   msgs=4    Leo
165       12664.022  SEM_POST           tid=2   room=-  sem=50   msgs=4    Leo
166       13665.670  SEM_WAIT           tid=6   room=-  sem=49   msgs=0    ADMITTED
167       13665.673  PRIVATE_MSG        tid=6   room=-  sem=-1   msgs=0    T6->T1 Mia
168       13665.680  PRIVATE_MSG        tid=6   room=P  sem=49   msgs=4    Mia
169       13665.681  SEM_POST           tid=6   room=-  sem=50   msgs=4    Mia
170       14666.097  SEM_WAIT           tid=1   room=-  sem=49   msgs=0    ADMITTED
171       14666.098  ACQUIRED_LOCK      tid=1   room=A  sem=-1   msgs=0    Nick
172       14666.099  RELEASED_LOCK      tid=1   room=A  sem=-1   msgs=0    Nick
173       14666.099  MSG_BROADCAST      tid=1   room=A  sem=49   msgs=5    Nick
174       14666.099  SEM_POST           tid=1   room=-  sem=50   msgs=5    Nick
175       15668.707  SEM_WAIT           tid=5   room=-  sem=49   msgs=0    ADMITTED
176       15668.710  ACQUIRED_LOCK      tid=5   room=B  sem=-1   msgs=0    Olivia
177       15668.712  RELEASED_LOCK      tid=5   room=B  sem=-1   msgs=0    Olivia
178       15668.712  MSG_BROADCAST      tid=5   room=B  sem=49   msgs=5    Olivia
179       15668.712  SEM_POST           tid=5   room=-  sem=50   msgs=5    Olivia
180       16670.533  SEM_WAIT           tid=4   room=-  sem=49   msgs=0    ADMITTED
181       16670.536  ACQUIRED_LOCK      tid=4   room=C  sem=-1   msgs=0    Paul
182       16670.537  RELEASED_LOCK      tid=4   room=C  sem=-1   msgs=0    Paul
183       16670.537  MSG_BROADCAST      tid=4   room=C  sem=49   msgs=5    Paul
184       16670.537  SEM_POST           tid=4   room=-  sem=50   msgs=5    Paul
185       17674.338  SEM_WAIT           tid=3   room=-  sem=49   msgs=0    ADMITTED
186       17674.341  ACQUIRED_LOCK      tid=3   room=A  sem=-1   msgs=0    Quinn
187       17674.341  RELEASED_LOCK      tid=3   room=A  sem=-1   msgs=0    Quinn
188       17674.341  MSG_BROADCAST      tid=3   room=A  sem=49   msgs=5    Quinn
189       17674.342  SEM_POST           tid=3   room=-  sem=50   msgs=5    Quinn
190       18675.367  SEM_WAIT           tid=7   room=-  sem=49   msgs=0    ADMITTED
191       18675.369  ACQUIRED_LOCK      tid=7   room=B  sem=-1   msgs=0    Rose
192       18675.370  RELEASED_LOCK      tid=7   room=B  sem=-1   msgs=0    Rose
193       18675.370  MSG_BROADCAST      tid=7   room=B  sem=49   msgs=5    Rose
194       18675.370  SEM_POST           tid=7   room=-  sem=50   msgs=5    Rose
195       19683.549  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
196       19683.551  ACQUIRED_LOCK      tid=0   room=C  sem=-1   msgs=0    Sam
